timestamp,requests,trips,supply_hours,mean_surge_multipler
5/3/12 1:00 PM,127,115,64.2,1.00
5/3/12 2:00 PM,110,98,52.8,1.01
5/3/12 3:00 PM,123,106,56.8,1.06
5/3/12 4:00 PM,148,124,66.3,1.11
5/3/12 5:00 PM,207,168,94.1,1.35
5/3/12 6:00 PM,186,156,87.0,1.17
5/3/12 7:00 PM,213,188,95.1,1.00
5/3/12 8:00 PM,211,186,87.2,1.00
5/3/12 9:00 PM,179,155,70.5,1.02
5/3/12 10:00 PM,191,156,66.9,1.16
5/3/12 11:00 PM,169,140,68.6,1.04
5/4/12 12:00 AM,97,79,39.7,1.00
5/4/12 1:00 AM,68,52,27.0,1.06
5/4/12 2:00 AM,43,34,20.3,1.26
5/4/12 3:00 AM,22,17,11.2,1.02
5/4/12 4:00 AM,12,9,4.9,1.37
5/4/12 5:00 AM,24,20,10.9,1.18
5/4/12 6:00 AM,41,34,16.7,1.16
5/4/12 7:00 AM,96,83,39.8,1.13
5/4/12 8:00 AM,143,124,60.6,1.19
5/4/12 9:00 AM,173,153,80.3,1.10
5/4/12 10:00 AM,107,96,52.0,1.02
5/4/12 11:00 AM,107,96,45.2,1.03
5/4/12 12:00 PM,140,122,58.6,1.09
5/4/12 1:00 PM,149,129,62.4,1.16
5/4/12 2:00 PM,133,111,54.8,1.25
5/4/12 3:00 PM,139,113,57.7,1.33
5/4/12 4:00 PM,194,158,81.4,1.26
5/4/12 5:00 PM,260,213,106.0,1.34
5/4/12 6:00 PM,273,227,109.1,1.24
5/4/12 7:00 PM,247,212,95.1,1.05
5/4/12 8:00 PM,224,193,84.0,1.01
5/4/12 9:00 PM,224,187,78.7,1.10
5/4/12 10:00 PM,298,239,102.3,1.21
5/4/12 11:00 PM,287,226,99.3,1.19
5/5/12 12:00 AM,182,146,64.5,1.07
5/5/12 1:00 AM,164,129,58.2,1.01
5/5/12 2:00 AM,110,83,39.8,1.13
5/5/12 3:00 AM,55,41,23.0,1.33
5/5/12 4:00 AM,18,14,8.9,1.16
5/5/12 5:00 AM,8,7,3.9,1.21
5/5/12 6:00 AM,26,23,11.9,1.20
5/5/12 7:00 AM,37,32,17.1,1.13
5/5/12 8:00 AM,58,52,24.6,1.13
5/5/12 9:00 AM,110,98,43.0,1.23
5/5/12 10:00 AM,127,110,47.9,1.26
5/5/12 11:00 AM,155,130,56.0,1.35
5/5/12 12:00 PM,198,158,76.4,1.64
5/5/12 1:00 PM,201,162,81.6,1.38
5/5/12 2:00 PM,181,149,73.3,1.33
5/5/12 3:00 PM,212,171,80.0,1.43
5/5/12 4:00 PM,232,188,83.4,1.54
5/5/12 5:00 PM,266,220,95.4,1.48
5/5/12 6:00 PM,350,291,120.4,1.30
5/5/12 7:00 PM,283,239,96.7,1.14
5/5/12 8:00 PM,228,192,76.7,1.04
5/5/12 9:00 PM,235,196,76.6,1.07
5/5/12 10:00 PM,255,204,80.8,1.19
5/5/12 11:00 PM,259,197,78.1,1.59
5/6/12 12:00 AM,304,234,99.1,1.23
5/6/12 1:00 AM,164,124,53.4,1.12
5/6/12 2:00 AM,164,118,55.5,1.37
5/6/12 3:00 AM,80,57,31.9,1.27
5/6/12 4:00 AM,13,11,6.8,1.05
5/6/12 5:00 AM,13,11,6.6,1.08
5/6/12 6:00 AM,14,13,7.3,1.13
5/6/12 7:00 AM,32,29,17.2,1.04
5/6/12 8:00 AM,46,42,21.9,1.05
5/6/12 9:00 AM,78,69,30.6,1.19
5/6/12 10:00 AM,109,97,40.2,1.33
5/6/12 11:00 AM,125,110,45.8,1.11
5/6/12 12:00 PM,164,140,59.8,1.29
5/6/12 1:00 PM,152,131,59.3,1.25
5/6/12 2:00 PM,164,143,64.9,1.06
5/6/12 3:00 PM,145,124,57.6,1.09
5/6/12 4:00 PM,169,143,66.0,1.23
5/6/12 5:00 PM,147,126,57.1,1.17
5/6/12 6:00 PM,167,148,65.1,1.02
5/6/12 7:00 PM,129,115,51.4,1.00
5/6/12 8:00 PM,143,125,53.1,1.03
5/6/12 9:00 PM,109,93,39.5,1.07
5/6/12 10:00 PM,90,76,34.9,1.13
5/6/12 11:00 PM,69,58,27.6,1.02
